nSeq;I1;I2;O1;O2;A2
0.0;0.0;0.0;0.0;0.0;556.0
1.0;0.0;0.0;0.0;0.0;538.0
2.0;0.0;0.0;0.0;0.0;520.0
3.0;0.0;0.0;0.0;0.0;500.0
4.0;0.0;0.0;0.0;0.0;475.0
5.0;0.0;0.0;0.0;0.0;447.0
6.0;0.0;0.0;0.0;0.0;417.0
7.0;0.0;0.0;0.0;0.0;382.0
8.0;0.0;0.0;0.0;0.0;343.0
9.0;0.0;0.0;0.0;0.0;295.0
10.0;0.0;0.0;0.0;0.0;243.0
11.0;0.0;0.0;0.0;0.0;195.0
12.0;0.0;0.0;0.0;0.0;152.0
13.0;0.0;0.0;0.0;0.0;117.0
14.0;0.0;0.0;0.0;0.0;91.0
15.0;0.0;0.0;0.0;0.0;73.0
0.0;0.0;0.0;0.0;0.0;65.0
1.0;0.0;0.0;0.0;0.0;66.0
2.0;0.0;0.0;0.0;0.0;71.0
3.0;0.0;0.0;0.0;0.0;78.0
4.0;0.0;0.0;0.0;0.0;87.0
5.0;0.0;0.0;0.0;0.0;99.0
6.0;0.0;0.0;0.0;0.0;108.0
7.0;0.0;0.0;0.0;0.0;121.0
8.0;0.0;0.0;0.0;0.0;138.0
9.0;0.0;0.0;0.0;0.0;155.0
10.0;0.0;0.0;0.0;0.0;172.0
11.0;0.0;0.0;0.0;0.0;192.0
12.0;0.0;0.0;0.0;0.0;213.0
13.0;0.0;0.0;0.0;0.0;235.0
14.0;0.0;0.0;0.0;0.0;255.0
15.0;0.0;0.0;0.0;0.0;274.0
0.0;0.0;0.0;0.0;0.0;293.0
1.0;0.0;0.0;0.0;0.0;313.0
2.0;0.0;0.0;0.0;0.0;331.0
3.0;0.0;0.0;0.0;0.0;347.0
4.0;0.0;0.0;0.0;0.0;361.0
5.0;0.0;0.0;0.0;0.0;376.0
6.0;0.0;0.0;0.0;0.0;393.0
7.0;0.0;0.0;0.0;0.0;412.0
8.0;0.0;0.0;0.0;0.0;429.0
9.0;0.0;0.0;0.0;0.0;444.0
10.0;0.0;0.0;0.0;0.0;457.0
11.0;0.0;0.0;0.0;0.0;466.0
12.0;0.0;0.0;0.0;0.0;473.0
13.0;0.0;0.0;0.0;0.0;482.0
14.0;0.0;0.0;0.0;0.0;492.0
15.0;0.0;0.0;0.0;0.0;504.0
0.0;0.0;0.0;0.0;0.0;512.0
1.0;0.0;0.0;0.0;0.0;516.0
2.0;0.0;0.0;0.0;0.0;519.0
3.0;0.0;0.0;0.0;0.0;521.0
4.0;0.0;0.0;0.0;0.0;522.0
5.0;0.0;0.0;0.0;0.0;522.0
6.0;0.0;0.0;0.0;0.0;523.0
7.0;0.0;0.0;0.0;0.0;524.0
8.0;0.0;0.0;0.0;0.0;526.0
9.0;0.0;0.0;0.0;0.0;528.0
10.0;0.0;0.0;0.0;0.0;532.0
11.0;0.0;0.0;0.0;0.0;534.0
12.0;0.0;0.0;0.0;0.0;535.0
13.0;0.0;0.0;0.0;0.0;536.0
14.0;0.0;0.0;0.0;0.0;537.0
15.0;0.0;0.0;0.0;0.0;538.0
0.0;0.0;0.0;0.0;0.0;538.0
1.0;0.0;0.0;0.0;0.0;539.0
2.0;0.0;0.0;0.0;0.0;540.0
3.0;0.0;0.0;0.0;0.0;540.0
4.0;0.0;0.0;0.0;0.0;540.0
5.0;0.0;0.0;0.0;0.0;540.0
6.0;0.0;0.0;0.0;0.0;541.0
7.0;0.0;0.0;0.0;0.0;541.0
8.0;0.0;0.0;0.0;0.0;542.0
9.0;0.0;0.0;0.0;0.0;543.0
10.0;0.0;0.0;0.0;0.0;545.0
11.0;0.0;0.0;0.0;0.0;544.0
12.0;0.0;0.0;0.0;0.0;543.0
13.0;0.0;0.0;0.0;0.0;543.0
14.0;0.0;0.0;0.0;0.0;545.0
15.0;0.0;0.0;0.0;0.0;545.0
0.0;0.0;0.0;0.0;0.0;545.0
1.0;0.0;0.0;0.0;0.0;545.0
2.0;0.0;0.0;0.0;0.0;545.0
3.0;0.0;0.0;0.0;0.0;544.0
4.0;0.0;0.0;0.0;0.0;543.0
5.0;0.0;0.0;0.0;0.0;542.0
6.0;0.0;0.0;0.0;0.0;542.0
7.0;0.0;0.0;0.0;0.0;542.0
8.0;0.0;0.0;0.0;0.0;542.0
9.0;0.0;0.0;0.0;0.0;542.0
10.0;0.0;0.0;0.0;0.0;542.0
11.0;0.0;0.0;0.0;0.0;543.0
12.0;0.0;0.0;0.0;0.0;544.0
13.0;0.0;0.0;0.0;0.0;544.0
14.0;0.0;0.0;0.0;0.0;545.0
15.0;0.0;0.0;0.0;0.0;546.0
0.0;0.0;0.0;0.0;0.0;547.0
1.0;0.0;0.0;0.0;0.0;548.0
2.0;0.0;0.0;0.0;0.0;548.0
3.0;0.0;0.0;0.0;0.0;548.0
4.0;0.0;0.0;0.0;0.0;548.0
5.0;0.0;0.0;0.0;0.0;547.0
6.0;0.0;0.0;0.0;0.0;547.0
7.0;0.0;0.0;0.0;0.0;547.0
8.0;0.0;0.0;0.0;0.0;547.0
9.0;0.0;0.0;0.0;0.0;547.0
10.0;0.0;0.0;0.0;0.0;545.0
11.0;0.0;0.0;0.0;0.0;544.0
12.0;0.0;0.0;0.0;0.0;543.0
13.0;0.0;0.0;0.0;0.0;540.0
