nSeq;I1;I2;O1;O2;A2
0;0;0;0;0;473
1;0;0;0;0;481
2;0;0;0;0;489
3;0;0;0;0;497
4;0;0;0;0;504
5;0;0;0;0;512
6;0;0;0;0;518
7;0;0;0;0;523
8;0;0;0;0;529
9;0;0;0;0;534
10;0;0;0;0;539
11;0;0;0;0;541
12;0;0;0;0;544
13;0;0;0;0;546
14;0;0;0;0;548
15;0;0;0;0;550
0;0;0;0;0;551
1;0;0;0;0;552
2;0;0;0;0;552
3;0;0;0;0;551
4;0;0;0;0;552
5;0;0;0;0;551
6;0;0;0;0;550
7;0;0;0;0;548
8;0;0;0;0;546
9;0;0;0;0;545
10;0;0;0;0;545
11;0;0;0;0;544
12;0;0;0;0;543
13;0;0;0;0;543
14;0;0;0;0;543
15;0;0;0;0;543
0;0;0;0;0;545
1;0;0;0;0;547
2;0;0;0;0;548
3;0;0;0;0;550
4;0;0;0;0;551
5;0;0;0;0;553
6;0;0;0;0;553
7;0;0;0;0;554
8;0;0;0;0;553
9;0;0;0;0;552
10;0;0;0;0;551
11;0;0;0;0;551
12;0;0;0;0;549
13;0;0;0;0;548
14;0;0;0;0;549
15;0;0;0;0;549
0;0;0;0;0;550
1;0;0;0;0;551
2;0;0;0;0;551
3;0;0;0;0;552
4;0;0;0;0;553
5;0;0;0;0;553
6;0;0;0;0;553
7;0;0;0;0;554
8;0;0;0;0;554
9;0;0;0;0;553
10;0;0;0;0;553
11;0;0;0;0;551
12;0;0;0;0;550
13;0;0;0;0;548
14;0;0;0;0;547
15;0;0;0;0;546
0;0;0;0;0;546
1;0;0;0;0;546
2;0;0;0;0;547
3;0;0;0;0;547
4;0;0;0;0;547
5;0;0;0;0;548
6;0;0;0;0;550
7;0;0;0;0;551
8;0;0;0;0;551
9;0;0;0;0;551
10;0;0;0;0;550
11;0;0;0;0;550
12;0;0;0;0;550
13;0;0;0;0;548
14;0;0;0;0;548
15;0;0;0;0;547
0;0;0;0;0;545
1;0;0;0;0;545
2;0;0;0;0;545
3;0;0;0;0;545
4;0;0;0;0;545
5;0;0;0;0;547
6;0;0;0;0;547
7;0;0;0;0;548
8;0;0;0;0;549
9;0;0;0;0;550
10;0;0;0;0;550
11;0;0;0;0;550
12;0;0;0;0;551
13;0;0;0;0;552
14;0;0;0;0;551
15;0;0;0;0;550
0;0;0;0;0;550
1;0;0;0;0;549
2;0;0;0;0;548
3;0;0;0;0;547
4;0;0;0;0;546
5;0;0;0;0;545
6;0;0;0;0;545
7;0;0;0;0;545
8;0;0;0;0;543
9;0;0;0;0;544
10;0;0;0;0;544
11;0;0;0;0;544
12;0;0;0;0;543
13;0;0;0;0;542
14;0;0;0;0;542
15;0;0;0;0;543
0;0;0;0;0;544
1;0;0;0;0;545
2;0;0;0;0;546
3;0;0;0;0;547
4;0;0;0;0;549
5;0;0;0;0;551
6;0;0;0;0;551
7;0;0;0;0;552
8;0;0;0;0;554
9;0;0;0;0;555
10;0;0;0;0;553
11;0;0;0;0;552
12;0;0;0;0;550
13;0;0;0;0;548
14;0;0;0;0;547
15;0;0;0;0;546
0;0;0;0;0;546
1;0;0;0;0;546
2;0;0;0;0;545
3;0;0;0;0;546
4;0;0;0;0;547
5;0;0;0;0;547
6;0;0;0;0;547
7;0;0;0;0;549
8;0;0;0;0;549
9;0;0;0;0;550
10;0;0;0;0;551
11;0;0;0;0;551
12;0;0;0;0;551
13;0;0;0;0;551
14;0;0;0;0;552
15;0;0;0;0;553
0;0;0;0;0;554
1;0;0;0;0;555
2;0;0;0;0;556
3;0;0;0;0;557
4;0;0;0;0;557
5;0;0;0;0;556
6;0;0;0;0;556
7;0;0;0;0;557
8;0;0;0;0;556
9;0;0;0;0;557
10;0;0;0;0;558
11;0;0;0;0;559
12;0;0;0;0;558
13;0;0;0;0;556
14;0;0;0;0;556
15;0;0;0;0;555
0;0;0;0;0;554
1;0;0;0;0;554
2;0;0;0;0;554
3;0;0;0;0;555
4;0;0;0;0;554
5;0;0;0;0;554
6;0;0;0;0;554
7;0;0;0;0;554
8;0;0;0;0;553
9;0;0;0;0;552
10;0;0;0;0;552
11;0;0;0;0;551
12;0;0;0;0;551
13;0;0;0;0;551
14;0;0;0;0;551
15;0;0;0;0;551
0;0;0;0;0;551
1;0;0;0;0;550
2;0;0;0;0;550
3;0;0;0;0;550
4;0;0;0;0;550
5;0;0;0;0;549
6;0;0;0;0;548
7;0;0;0;0;548
8;0;0;0;0;547
9;0;0;0;0;544
10;0;0;0;0;542
11;0;0;0;0;540
12;0;0;0;0;538
13;0;0;0;0;537
14;0;0;0;0;536
15;0;0;0;0;534
0;0;0;0;0;532
1;0;0;0;0;531
2;0;0;0;0;529
3;0;0;0;0;527
4;0;0;0;0;527
5;0;0;0;0;525
6;0;0;0;0;523
7;0;0;0;0;522
8;0;0;0;0;520
9;0;0;0;0;519
10;0;0;0;0;517
11;0;0;0;0;516
12;0;0;0;0;514
13;0;0;0;0;513
14;0;0;0;0;512
15;0;0;0;0;511
0;0;0;0;0;510
1;0;0;0;0;510
2;0;0;0;0;510
3;0;0;0;0;507
4;0;0;0;0;505
5;0;0;0;0;504
6;0;0;0;0;503
7;0;0;0;0;502
8;0;0;0;0;502
9;0;0;0;0;501
10;0;0;0;0;500
