nSeq;I1;I2;O1;O2;A2
0.0;0.0;0.0;0.0;0.0;486.0
1.0;0.0;0.0;0.0;0.0;482.0
2.0;0.0;0.0;0.0;0.0;480.0
3.0;0.0;0.0;0.0;0.0;480.0
4.0;0.0;0.0;0.0;0.0;480.0
5.0;0.0;0.0;0.0;0.0;482.0
6.0;0.0;0.0;0.0;0.0;483.0
7.0;0.0;0.0;0.0;0.0;483.0
8.0;0.0;0.0;0.0;0.0;482.0
9.0;0.0;0.0;0.0;0.0;478.0
10.0;0.0;0.0;0.0;0.0;474.0
11.0;0.0;0.0;0.0;0.0;469.0
12.0;0.0;0.0;0.0;0.0;464.0
13.0;0.0;0.0;0.0;0.0;462.0
14.0;0.0;0.0;0.0;0.0;463.0
15.0;0.0;0.0;0.0;0.0;463.0
0.0;0.0;0.0;0.0;0.0;462.0
1.0;0.0;0.0;0.0;0.0;463.0
2.0;0.0;0.0;0.0;0.0;461.0
3.0;0.0;0.0;0.0;0.0;455.0
4.0;0.0;0.0;0.0;0.0;452.0
5.0;0.0;0.0;0.0;0.0;450.0
6.0;0.0;0.0;0.0;0.0;451.0
7.0;0.0;0.0;0.0;0.0;455.0
8.0;0.0;0.0;0.0;0.0;459.0
9.0;0.0;0.0;0.0;0.0;463.0
10.0;0.0;0.0;0.0;0.0;466.0
11.0;0.0;0.0;0.0;0.0;464.0
12.0;0.0;0.0;0.0;0.0;462.0
13.0;0.0;0.0;0.0;0.0;457.0
14.0;0.0;0.0;0.0;0.0;454.0
15.0;0.0;0.0;0.0;0.0;453.0
0.0;0.0;0.0;0.0;0.0;454.0
1.0;0.0;0.0;0.0;0.0;454.0
2.0;0.0;0.0;0.0;0.0;457.0
3.0;0.0;0.0;0.0;0.0;462.0
4.0;0.0;0.0;0.0;0.0;467.0
5.0;0.0;0.0;0.0;0.0;471.0
6.0;0.0;0.0;0.0;0.0;471.0
7.0;0.0;0.0;0.0;0.0;470.0
8.0;0.0;0.0;0.0;0.0;471.0
9.0;0.0;0.0;0.0;0.0;474.0
10.0;0.0;0.0;0.0;0.0;472.0
11.0;0.0;0.0;0.0;0.0;471.0
12.0;0.0;0.0;0.0;0.0;470.0
13.0;0.0;0.0;0.0;0.0;468.0
14.0;0.0;0.0;0.0;0.0;465.0
15.0;0.0;0.0;0.0;0.0;461.0
0.0;0.0;0.0;0.0;0.0;457.0
1.0;0.0;0.0;0.0;0.0;454.0
2.0;0.0;0.0;0.0;0.0;452.0
3.0;0.0;0.0;0.0;0.0;451.0
4.0;0.0;0.0;0.0;0.0;448.0
5.0;0.0;0.0;0.0;0.0;446.0
6.0;0.0;0.0;0.0;0.0;442.0
7.0;0.0;0.0;0.0;0.0;439.0
8.0;0.0;0.0;0.0;0.0;438.0
9.0;0.0;0.0;0.0;0.0;438.0
10.0;0.0;0.0;0.0;0.0;440.0
11.0;0.0;0.0;0.0;0.0;441.0
12.0;0.0;0.0;0.0;0.0;443.0
13.0;0.0;0.0;0.0;0.0;447.0
