nSeq;I1;I2;O1;O2;A2
0;0;0;0;0;636
1;0;0;0;0;603
2;0;0;0;0;560
3;0;0;0;0;511
4;0;0;0;0;453
5;0;0;0;0;398
6;0;0;0;0;351
7;0;0;0;0;315
8;0;0;0;0;292
9;0;0;0;0;277
10;0;0;0;0;271
11;0;0;0;0;270
12;0;0;0;0;270
13;0;0;0;0;269
14;0;0;0;0;266
15;0;0;0;0;261
0;0;0;0;0;252
1;0;0;0;0;241
2;0;0;0;0;226
3;0;0;0;0;208
4;0;0;0;0;189
5;0;0;0;0;176
6;0;0;0;0;167
7;0;0;0;0;162
8;0;0;0;0;159
9;0;0;0;0;160
10;0;0;0;0;165
11;0;0;0;0;176
12;0;0;0;0;195
13;0;0;0;0;217
14;0;0;0;0;238
15;0;0;0;0;260
0;0;0;0;0;283
1;0;0;0;0;303
2;0;0;0;0;320
3;0;0;0;0;336
4;0;0;0;0;354
5;0;0;0;0;373
6;0;0;0;0;391
7;0;0;0;0;408
8;0;0;0;0;422
9;0;0;0;0;433
10;0;0;0;0;442
11;0;0;0;0;452
12;0;0;0;0;460
13;0;0;0;0;467
14;0;0;0;0;475
15;0;0;0;0;481
0;0;0;0;0;489
1;0;0;0;0;497
2;0;0;0;0;505
3;0;0;0;0;514
4;0;0;0;0;520
5;0;0;0;0;526
6;0;0;0;0;532
7;0;0;0;0;537
8;0;0;0;0;542
9;0;0;0;0;545
10;0;0;0;0;550
11;0;0;0;0;553
12;0;0;0;0;557
13;0;0;0;0;560
14;0;0;0;0;562
15;0;0;0;0;563
0;0;0;0;0;563
1;0;0;0;0;564
2;0;0;0;0;565
3;0;0;0;0;566
4;0;0;0;0;567
5;0;0;0;0;568
6;0;0;0;0;568
7;0;0;0;0;568
8;0;0;0;0;568
9;0;0;0;0;568
10;0;0;0;0;568
11;0;0;0;0;568
12;0;0;0;0;568
13;0;0;0;0;569
14;0;0;0;0;569
15;0;0;0;0;568
0;0;0;0;0;567
1;0;0;0;0;568
2;0;0;0;0;567
3;0;0;0;0;566
4;0;0;0;0;566
5;0;0;0;0;565
6;0;0;0;0;564
7;0;0;0;0;563
8;0;0;0;0;564
9;0;0;0;0;564
10;0;0;0;0;564
11;0;0;0;0;563
12;0;0;0;0;563
13;0;0;0;0;563
14;0;0;0;0;564
15;0;0;0;0;565
