nSeq;I1;I2;O1;O2;A2
0.0;0.0;0.0;0.0;0.0;494.0
1.0;0.0;0.0;0.0;0.0;492.0
2.0;0.0;0.0;0.0;0.0;488.0
3.0;0.0;0.0;0.0;0.0;485.0
4.0;0.0;0.0;0.0;0.0;481.0
5.0;0.0;0.0;0.0;0.0;480.0
6.0;0.0;0.0;0.0;0.0;481.0
7.0;0.0;0.0;0.0;0.0;485.0
8.0;0.0;0.0;0.0;0.0;489.0
9.0;0.0;0.0;0.0;0.0;492.0
10.0;0.0;0.0;0.0;0.0;495.0
11.0;0.0;0.0;0.0;0.0;499.0
12.0;0.0;0.0;0.0;0.0;502.0
13.0;0.0;0.0;0.0;0.0;507.0
14.0;0.0;0.0;0.0;0.0;508.0
15.0;0.0;0.0;0.0;0.0;509.0
0.0;0.0;0.0;0.0;0.0;510.0
1.0;0.0;0.0;0.0;0.0;510.0
2.0;0.0;0.0;0.0;0.0;509.0
3.0;0.0;0.0;0.0;0.0;507.0
4.0;0.0;0.0;0.0;0.0;507.0
5.0;0.0;0.0;0.0;0.0;505.0
6.0;0.0;0.0;0.0;0.0;500.0
7.0;0.0;0.0;0.0;0.0;497.0
8.0;0.0;0.0;0.0;0.0;497.0
9.0;0.0;0.0;0.0;0.0;499.0
10.0;0.0;0.0;0.0;0.0;499.0
11.0;0.0;0.0;0.0;0.0;498.0
12.0;0.0;0.0;0.0;0.0;496.0
13.0;0.0;0.0;0.0;0.0;495.0
14.0;0.0;0.0;0.0;0.0;495.0
15.0;0.0;0.0;0.0;0.0;498.0
0.0;0.0;0.0;0.0;0.0;502.0
1.0;0.0;0.0;0.0;0.0;504.0
2.0;0.0;0.0;0.0;0.0;501.0
3.0;0.0;0.0;0.0;0.0;499.0
4.0;0.0;0.0;0.0;0.0;499.0
5.0;0.0;0.0;0.0;0.0;492.0
6.0;0.0;0.0;0.0;0.0;484.0
7.0;0.0;0.0;0.0;0.0;481.0
8.0;0.0;0.0;0.0;0.0;480.0
9.0;0.0;0.0;0.0;0.0;480.0
10.0;0.0;0.0;0.0;0.0;480.0
11.0;0.0;0.0;0.0;0.0;479.0
12.0;0.0;0.0;0.0;0.0;478.0
13.0;0.0;0.0;0.0;0.0;482.0
14.0;0.0;0.0;0.0;0.0;486.0
15.0;0.0;0.0;0.0;0.0;488.0
0.0;0.0;0.0;0.0;0.0;491.0
1.0;0.0;0.0;0.0;0.0;490.0
2.0;0.0;0.0;0.0;0.0;491.0
3.0;0.0;0.0;0.0;0.0;492.0
4.0;0.0;0.0;0.0;0.0;496.0
5.0;0.0;0.0;0.0;0.0;497.0
6.0;0.0;0.0;0.0;0.0;496.0
7.0;0.0;0.0;0.0;0.0;491.0
8.0;0.0;0.0;0.0;0.0;487.0
9.0;0.0;0.0;0.0;0.0;482.0
10.0;0.0;0.0;0.0;0.0;480.0
11.0;0.0;0.0;0.0;0.0;481.0
12.0;0.0;0.0;0.0;0.0;484.0
13.0;0.0;0.0;0.0;0.0;483.0
14.0;0.0;0.0;0.0;0.0;481.0
15.0;0.0;0.0;0.0;0.0;476.0
0.0;0.0;0.0;0.0;0.0;473.0
1.0;0.0;0.0;0.0;0.0;472.0
2.0;0.0;0.0;0.0;0.0;473.0
3.0;0.0;0.0;0.0;0.0;473.0
4.0;0.0;0.0;0.0;0.0;476.0
5.0;0.0;0.0;0.0;0.0;480.0
6.0;0.0;0.0;0.0;0.0;485.0
7.0;0.0;0.0;0.0;0.0;488.0
8.0;0.0;0.0;0.0;0.0;491.0
9.0;0.0;0.0;0.0;0.0;492.0
10.0;0.0;0.0;0.0;0.0;492.0
11.0;0.0;0.0;0.0;0.0;493.0
12.0;0.0;0.0;0.0;0.0;493.0
13.0;0.0;0.0;0.0;0.0;488.0
14.0;0.0;0.0;0.0;0.0;485.0
15.0;0.0;0.0;0.0;0.0;483.0
0.0;0.0;0.0;0.0;0.0;483.0
1.0;0.0;0.0;0.0;0.0;485.0
2.0;0.0;0.0;0.0;0.0;488.0
3.0;0.0;0.0;0.0;0.0;487.0
4.0;0.0;0.0;0.0;0.0;481.0
5.0;0.0;0.0;0.0;0.0;473.0
6.0;0.0;0.0;0.0;0.0;468.0
7.0;0.0;0.0;0.0;0.0;466.0
8.0;0.0;0.0;0.0;0.0;464.0
9.0;0.0;0.0;0.0;0.0;461.0
10.0;0.0;0.0;0.0;0.0;460.0
11.0;0.0;0.0;0.0;0.0;459.0
12.0;0.0;0.0;0.0;0.0;462.0
13.0;0.0;0.0;0.0;0.0;465.0
14.0;0.0;0.0;0.0;0.0;467.0
15.0;0.0;0.0;0.0;0.0;470.0
0.0;0.0;0.0;0.0;0.0;474.0
1.0;0.0;0.0;0.0;0.0;474.0
2.0;0.0;0.0;0.0;0.0;476.0
3.0;0.0;0.0;0.0;0.0;476.0
4.0;0.0;0.0;0.0;0.0;473.0
5.0;0.0;0.0;0.0;0.0;471.0
6.0;0.0;0.0;0.0;0.0;470.0
7.0;0.0;0.0;0.0;0.0;472.0
8.0;0.0;0.0;0.0;0.0;472.0
9.0;0.0;0.0;0.0;0.0;472.0
10.0;0.0;0.0;0.0;0.0;473.0
11.0;0.0;0.0;0.0;0.0;476.0
12.0;0.0;0.0;0.0;0.0;480.0
13.0;0.0;0.0;0.0;0.0;483.0
14.0;0.0;0.0;0.0;0.0;484.0
15.0;0.0;0.0;0.0;0.0;492.0
0.0;0.0;0.0;0.0;0.0;501.0
1.0;0.0;0.0;0.0;0.0;511.0
2.0;0.0;0.0;0.0;0.0;524.0
3.0;0.0;0.0;0.0;0.0;540.0
4.0;0.0;0.0;0.0;0.0;556.0
5.0;0.0;0.0;0.0;0.0;570.0
6.0;0.0;0.0;0.0;0.0;581.0
7.0;0.0;0.0;0.0;0.0;589.0
8.0;0.0;0.0;0.0;0.0;593.0
9.0;0.0;0.0;0.0;0.0;591.0
10.0;0.0;0.0;0.0;0.0;585.0
11.0;0.0;0.0;0.0;0.0;577.0
12.0;0.0;0.0;0.0;0.0;565.0
13.0;0.0;0.0;0.0;0.0;556.0
14.0;0.0;0.0;0.0;0.0;549.0
15.0;0.0;0.0;0.0;0.0;540.0
0.0;0.0;0.0;0.0;0.0;529.0
1.0;0.0;0.0;0.0;0.0;510.0
2.0;0.0;0.0;0.0;0.0;485.0
3.0;0.0;0.0;0.0;0.0;461.0
4.0;0.0;0.0;0.0;0.0;436.0
5.0;0.0;0.0;0.0;0.0;412.0
6.0;0.0;0.0;0.0;0.0;394.0
7.0;0.0;0.0;0.0;0.0;382.0
8.0;0.0;0.0;0.0;0.0;374.0
9.0;0.0;0.0;0.0;0.0;371.0
10.0;0.0;0.0;0.0;0.0;368.0
11.0;0.0;0.0;0.0;0.0;361.0
12.0;0.0;0.0;0.0;0.0;358.0
13.0;0.0;0.0;0.0;0.0;356.0
14.0;0.0;0.0;0.0;0.0;356.0
15.0;0.0;0.0;0.0;0.0;358.0
0.0;0.0;0.0;0.0;0.0;363.0
1.0;0.0;0.0;0.0;0.0;370.0
2.0;0.0;0.0;0.0;0.0;380.0
3.0;0.0;0.0;0.0;0.0;391.0
4.0;0.0;0.0;0.0;0.0;398.0
5.0;0.0;0.0;0.0;0.0;402.0
6.0;0.0;0.0;0.0;0.0;408.0
7.0;0.0;0.0;0.0;0.0;411.0
8.0;0.0;0.0;0.0;0.0;414.0
9.0;0.0;0.0;0.0;0.0;418.0
10.0;0.0;0.0;0.0;0.0;420.0
11.0;0.0;0.0;0.0;0.0;421.0
12.0;0.0;0.0;0.0;0.0;420.0
13.0;0.0;0.0;0.0;0.0;423.0
14.0;0.0;0.0;0.0;0.0;432.0
15.0;0.0;0.0;0.0;0.0;440.0
0.0;0.0;0.0;0.0;0.0;447.0
1.0;0.0;0.0;0.0;0.0;452.0
2.0;0.0;0.0;0.0;0.0;456.0
3.0;0.0;0.0;0.0;0.0;464.0
4.0;0.0;0.0;0.0;0.0;471.0
5.0;0.0;0.0;0.0;0.0;479.0
6.0;0.0;0.0;0.0;0.0;487.0
7.0;0.0;0.0;0.0;0.0;492.0
8.0;0.0;0.0;0.0;0.0;494.0
9.0;0.0;0.0;0.0;0.0;497.0
10.0;0.0;0.0;0.0;0.0;501.0
11.0;0.0;0.0;0.0;0.0;505.0
12.0;0.0;0.0;0.0;0.0;505.0
13.0;0.0;0.0;0.0;0.0;507.0
14.0;0.0;0.0;0.0;0.0;509.0
15.0;0.0;0.0;0.0;0.0;507.0
0.0;0.0;0.0;0.0;0.0;504.0
1.0;0.0;0.0;0.0;0.0;503.0
2.0;0.0;0.0;0.0;0.0;502.0
3.0;0.0;0.0;0.0;0.0;504.0
4.0;0.0;0.0;0.0;0.0;506.0
5.0;0.0;0.0;0.0;0.0;506.0
6.0;0.0;0.0;0.0;0.0;507.0
