nSeq;I1;I2;O1;O2;A2
0;0;0;0;0;502
1;0;0;0;0;500
2;0;0;0;0;499
3;0;0;0;0;496
4;0;0;0;0;494
5;0;0;0;0;491
6;0;0;0;0;489
7;0;0;0;0;489
8;0;0;0;0;489
9;0;0;0;0;489
10;0;0;0;0;488
11;0;0;0;0;488
12;0;0;0;0;488
13;0;0;0;0;488
14;0;0;0;0;489
15;0;0;0;0;489
0;0;0;0;0;489
1;0;0;0;0;488
2;0;0;0;0;487
3;0;0;0;0;489
4;0;0;0;0;489
5;0;0;0;0;488
6;0;0;0;0;487
7;0;0;0;0;486
8;0;0;0;0;486
9;0;0;0;0;484
10;0;0;0;0;484
11;0;0;0;0;484
12;0;0;0;0;484
13;0;0;0;0;485
14;0;0;0;0;487
15;0;0;0;0;488
0;0;0;0;0;489
1;0;0;0;0;489
2;0;0;0;0;489
3;0;0;0;0;489
4;0;0;0;0;490
5;0;0;0;0;489
6;0;0;0;0;488
7;0;0;0;0;488
8;0;0;0;0;488
9;0;0;0;0;488
10;0;0;0;0;488
11;0;0;0;0;488
12;0;0;0;0;488
13;0;0;0;0;489
14;0;0;0;0;490
15;0;0;0;0;490
0;0;0;0;0;491
1;0;0;0;0;491
2;0;0;0;0;492
3;0;0;0;0;492
4;0;0;0;0;492
5;0;0;0;0;491
6;0;0;0;0;491
7;0;0;0;0;491
8;0;0;0;0;490
9;0;0;0;0;490
10;0;0;0;0;490
11;0;0;0;0;491
12;0;0;0;0;491
13;0;0;0;0;492
14;0;0;0;0;493
15;0;0;0;0;494
0;0;0;0;0;494
1;0;0;0;0;495
2;0;0;0;0;495
3;0;0;0;0;496
4;0;0;0;0;496
5;0;0;0;0;496
6;0;0;0;0;496
7;0;0;0;0;496
8;0;0;0;0;496
9;0;0;0;0;496
10;0;0;0;0;497
11;0;0;0;0;496
12;0;0;0;0;497
13;0;0;0;0;498
14;0;0;0;0;498
15;0;0;0;0;498
0;0;0;0;0;499
1;0;0;0;0;500
2;0;0;0;0;502
3;0;0;0;0;505
4;0;0;0;0;511
5;0;0;0;0;517
6;0;0;0;0;526
7;0;0;0;0;536
8;0;0;0;0;545
9;0;0;0;0;556
10;0;0;0;0;566
11;0;0;0;0;576
12;0;0;0;0;583
13;0;0;0;0;589
14;0;0;0;0;595
15;0;0;0;0;601
0;0;0;0;0;608
1;0;0;0;0;614
2;0;0;0;0;617
3;0;0;0;0;621
4;0;0;0;0;624
5;0;0;0;0;624
6;0;0;0;0;623
7;0;0;0;0;622
8;0;0;0;0;622
9;0;0;0;0;621
10;0;0;0;0;621
11;0;0;0;0;624
12;0;0;0;0;631
13;0;0;0;0;639
14;0;0;0;0;647
15;0;0;0;0;644
0;0;0;0;0;626
1;0;0;0;0;590
2;0;0;0;0;543
3;0;0;0;0;489
4;0;0;0;0;425
5;0;0;0;0;364
6;0;0;0;0;311
7;0;0;0;0;269
8;0;0;0;0;242
9;0;0;0;0;226
10;0;0;0;0;219
11;0;0;0;0;218
12;0;0;0;0;220
13;0;0;0;0;222
14;0;0;0;0;224
15;0;0;0;0;226
0;0;0;0;0;229
1;0;0;0;0;233
2;0;0;0;0;233
3;0;0;0;0;227
4;0;0;0;0;219
5;0;0;0;0;211
6;0;0;0;0;204
7;0;0;0;0;199
8;0;0;0;0;197
9;0;0;0;0;197
10;0;0;0;0;201
11;0;0;0;0;211
12;0;0;0;0;228
13;0;0;0;0;248
14;0;0;0;0;268
15;0;0;0;0;289
0;0;0;0;0;310
1;0;0;0;0;329
2;0;0;0;0;347
3;0;0;0;0;366
4;0;0;0;0;386
5;0;0;0;0;406
6;0;0;0;0;424
7;0;0;0;0;439
8;0;0;0;0;449
9;0;0;0;0;459
10;0;0;0;0;465
11;0;0;0;0;470
12;0;0;0;0;475
13;0;0;0;0;479
14;0;0;0;0;483
15;0;0;0;0;487
0;0;0;0;0;492
1;0;0;0;0;497
2;0;0;0;0;502
3;0;0;0;0;506
4;0;0;0;0;511
5;0;0;0;0;517
6;0;0;0;0;523
7;0;0;0;0;529
8;0;0;0;0;534
9;0;0;0;0;539
10;0;0;0;0;544
11;0;0;0;0;548
12;0;0;0;0;551
13;0;0;0;0;554
14;0;0;0;0;557
15;0;0;0;0;558
0;0;0;0;0;560
1;0;0;0;0;563
2;0;0;0;0;564
3;0;0;0;0;566
4;0;0;0;0;566
5;0;0;0;0;567
6;0;0;0;0;568
7;0;0;0;0;569
8;0;0;0;0;571
9;0;0;0;0;571
10;0;0;0;0;572
11;0;0;0;0;572
12;0;0;0;0;572
13;0;0;0;0;572
14;0;0;0;0;572
15;0;0;0;0;573
0;0;0;0;0;573
1;0;0;0;0;573
2;0;0;0;0;574
3;0;0;0;0;574
4;0;0;0;0;573
5;0;0;0;0;573
6;0;0;0;0;572
7;0;0;0;0;572
8;0;0;0;0;572
9;0;0;0;0;573
10;0;0;0;0;573
11;0;0;0;0;573
12;0;0;0;0;574
13;0;0;0;0;575
14;0;0;0;0;575
15;0;0;0;0;575
0;0;0;0;0;573
1;0;0;0;0;572
2;0;0;0;0;571
3;0;0;0;0;571
4;0;0;0;0;572
5;0;0;0;0;572
6;0;0;0;0;572
7;0;0;0;0;572
8;0;0;0;0;571
9;0;0;0;0;570
10;0;0;0;0;569
11;0;0;0;0;569
12;0;0;0;0;568
13;0;0;0;0;568
14;0;0;0;0;567
15;0;0;0;0;567
0;0;0;0;0;566
1;0;0;0;0;565
2;0;0;0;0;565
3;0;0;0;0;564
4;0;0;0;0;562
