nSeq;I1;I2;O1;O2;A2
0.0;0.0;0.0;0.0;0.0;502.0
1.0;0.0;0.0;0.0;0.0;500.0
2.0;0.0;0.0;0.0;0.0;499.0
3.0;0.0;0.0;0.0;0.0;496.0
4.0;0.0;0.0;0.0;0.0;494.0
5.0;0.0;0.0;0.0;0.0;491.0
6.0;0.0;0.0;0.0;0.0;489.0
7.0;0.0;0.0;0.0;0.0;489.0
8.0;0.0;0.0;0.0;0.0;489.0
9.0;0.0;0.0;0.0;0.0;489.0
10.0;0.0;0.0;0.0;0.0;488.0
11.0;0.0;0.0;0.0;0.0;488.0
12.0;0.0;0.0;0.0;0.0;488.0
13.0;0.0;0.0;0.0;0.0;488.0
14.0;0.0;0.0;0.0;0.0;489.0
15.0;0.0;0.0;0.0;0.0;489.0
0.0;0.0;0.0;0.0;0.0;489.0
1.0;0.0;0.0;0.0;0.0;488.0
2.0;0.0;0.0;0.0;0.0;487.0
3.0;0.0;0.0;0.0;0.0;489.0
4.0;0.0;0.0;0.0;0.0;489.0
5.0;0.0;0.0;0.0;0.0;488.0
6.0;0.0;0.0;0.0;0.0;487.0
7.0;0.0;0.0;0.0;0.0;486.0
8.0;0.0;0.0;0.0;0.0;486.0
9.0;0.0;0.0;0.0;0.0;484.0
10.0;0.0;0.0;0.0;0.0;484.0
11.0;0.0;0.0;0.0;0.0;484.0
12.0;0.0;0.0;0.0;0.0;484.0
13.0;0.0;0.0;0.0;0.0;485.0
14.0;0.0;0.0;0.0;0.0;487.0
15.0;0.0;0.0;0.0;0.0;488.0
0.0;0.0;0.0;0.0;0.0;489.0
1.0;0.0;0.0;0.0;0.0;489.0
2.0;0.0;0.0;0.0;0.0;489.0
3.0;0.0;0.0;0.0;0.0;489.0
4.0;0.0;0.0;0.0;0.0;490.0
5.0;0.0;0.0;0.0;0.0;489.0
6.0;0.0;0.0;0.0;0.0;488.0
7.0;0.0;0.0;0.0;0.0;488.0
8.0;0.0;0.0;0.0;0.0;488.0
9.0;0.0;0.0;0.0;0.0;488.0
10.0;0.0;0.0;0.0;0.0;488.0
11.0;0.0;0.0;0.0;0.0;488.0
12.0;0.0;0.0;0.0;0.0;488.0
13.0;0.0;0.0;0.0;0.0;489.0
14.0;0.0;0.0;0.0;0.0;490.0
15.0;0.0;0.0;0.0;0.0;490.0
0.0;0.0;0.0;0.0;0.0;491.0
1.0;0.0;0.0;0.0;0.0;491.0
2.0;0.0;0.0;0.0;0.0;492.0
3.0;0.0;0.0;0.0;0.0;492.0
4.0;0.0;0.0;0.0;0.0;492.0
5.0;0.0;0.0;0.0;0.0;491.0
6.0;0.0;0.0;0.0;0.0;491.0
7.0;0.0;0.0;0.0;0.0;491.0
8.0;0.0;0.0;0.0;0.0;490.0
9.0;0.0;0.0;0.0;0.0;490.0
10.0;0.0;0.0;0.0;0.0;490.0
11.0;0.0;0.0;0.0;0.0;491.0
12.0;0.0;0.0;0.0;0.0;491.0
13.0;0.0;0.0;0.0;0.0;492.0
14.0;0.0;0.0;0.0;0.0;493.0
15.0;0.0;0.0;0.0;0.0;494.0
0.0;0.0;0.0;0.0;0.0;494.0
1.0;0.0;0.0;0.0;0.0;495.0
2.0;0.0;0.0;0.0;0.0;495.0
3.0;0.0;0.0;0.0;0.0;496.0
4.0;0.0;0.0;0.0;0.0;496.0
5.0;0.0;0.0;0.0;0.0;496.0
6.0;0.0;0.0;0.0;0.0;496.0
7.0;0.0;0.0;0.0;0.0;496.0
8.0;0.0;0.0;0.0;0.0;496.0
9.0;0.0;0.0;0.0;0.0;496.0
10.0;0.0;0.0;0.0;0.0;497.0
11.0;0.0;0.0;0.0;0.0;496.0
12.0;0.0;0.0;0.0;0.0;497.0
13.0;0.0;0.0;0.0;0.0;498.0
14.0;0.0;0.0;0.0;0.0;498.0
15.0;0.0;0.0;0.0;0.0;498.0
0.0;0.0;0.0;0.0;0.0;499.0
1.0;0.0;0.0;0.0;0.0;500.0
2.0;0.0;0.0;0.0;0.0;502.0
3.0;0.0;0.0;0.0;0.0;505.0
4.0;0.0;0.0;0.0;0.0;511.0
5.0;0.0;0.0;0.0;0.0;517.0
6.0;0.0;0.0;0.0;0.0;526.0
7.0;0.0;0.0;0.0;0.0;536.0
8.0;0.0;0.0;0.0;0.0;545.0
9.0;0.0;0.0;0.0;0.0;556.0
10.0;0.0;0.0;0.0;0.0;566.0
11.0;0.0;0.0;0.0;0.0;576.0
12.0;0.0;0.0;0.0;0.0;583.0
13.0;0.0;0.0;0.0;0.0;589.0
14.0;0.0;0.0;0.0;0.0;595.0
15.0;0.0;0.0;0.0;0.0;601.0
0.0;0.0;0.0;0.0;0.0;608.0
1.0;0.0;0.0;0.0;0.0;614.0
2.0;0.0;0.0;0.0;0.0;617.0
3.0;0.0;0.0;0.0;0.0;621.0
4.0;0.0;0.0;0.0;0.0;624.0
5.0;0.0;0.0;0.0;0.0;624.0
6.0;0.0;0.0;0.0;0.0;623.0
7.0;0.0;0.0;0.0;0.0;622.0
8.0;0.0;0.0;0.0;0.0;622.0
9.0;0.0;0.0;0.0;0.0;621.0
10.0;0.0;0.0;0.0;0.0;621.0
11.0;0.0;0.0;0.0;0.0;624.0
12.0;0.0;0.0;0.0;0.0;631.0
13.0;0.0;0.0;0.0;0.0;639.0
14.0;0.0;0.0;0.0;0.0;647.0
15.0;0.0;0.0;0.0;0.0;644.0
0.0;0.0;0.0;0.0;0.0;626.0
1.0;0.0;0.0;0.0;0.0;590.0
2.0;0.0;0.0;0.0;0.0;543.0
3.0;0.0;0.0;0.0;0.0;489.0
4.0;0.0;0.0;0.0;0.0;425.0
5.0;0.0;0.0;0.0;0.0;364.0
6.0;0.0;0.0;0.0;0.0;311.0
7.0;0.0;0.0;0.0;0.0;269.0
8.0;0.0;0.0;0.0;0.0;242.0
9.0;0.0;0.0;0.0;0.0;226.0
10.0;0.0;0.0;0.0;0.0;219.0
11.0;0.0;0.0;0.0;0.0;218.0
12.0;0.0;0.0;0.0;0.0;220.0
13.0;0.0;0.0;0.0;0.0;222.0
14.0;0.0;0.0;0.0;0.0;224.0
15.0;0.0;0.0;0.0;0.0;226.0
0.0;0.0;0.0;0.0;0.0;229.0
1.0;0.0;0.0;0.0;0.0;233.0
2.0;0.0;0.0;0.0;0.0;233.0
3.0;0.0;0.0;0.0;0.0;227.0
4.0;0.0;0.0;0.0;0.0;219.0
5.0;0.0;0.0;0.0;0.0;211.0
6.0;0.0;0.0;0.0;0.0;204.0
7.0;0.0;0.0;0.0;0.0;199.0
8.0;0.0;0.0;0.0;0.0;197.0
9.0;0.0;0.0;0.0;0.0;197.0
10.0;0.0;0.0;0.0;0.0;201.0
11.0;0.0;0.0;0.0;0.0;211.0
12.0;0.0;0.0;0.0;0.0;228.0
13.0;0.0;0.0;0.0;0.0;248.0
14.0;0.0;0.0;0.0;0.0;268.0
15.0;0.0;0.0;0.0;0.0;289.0
0.0;0.0;0.0;0.0;0.0;310.0
1.0;0.0;0.0;0.0;0.0;329.0
2.0;0.0;0.0;0.0;0.0;347.0
3.0;0.0;0.0;0.0;0.0;366.0
4.0;0.0;0.0;0.0;0.0;386.0
5.0;0.0;0.0;0.0;0.0;406.0
6.0;0.0;0.0;0.0;0.0;424.0
7.0;0.0;0.0;0.0;0.0;439.0
8.0;0.0;0.0;0.0;0.0;449.0
9.0;0.0;0.0;0.0;0.0;459.0
10.0;0.0;0.0;0.0;0.0;465.0
