nSeq;I1;I2;O1;O2;A2
0.0;0.0;0.0;0.0;0.0;636.0
1.0;0.0;0.0;0.0;0.0;603.0
2.0;0.0;0.0;0.0;0.0;560.0
3.0;0.0;0.0;0.0;0.0;511.0
4.0;0.0;0.0;0.0;0.0;453.0
5.0;0.0;0.0;0.0;0.0;398.0
6.0;0.0;0.0;0.0;0.0;351.0
7.0;0.0;0.0;0.0;0.0;315.0
8.0;0.0;0.0;0.0;0.0;292.0
9.0;0.0;0.0;0.0;0.0;277.0
10.0;0.0;0.0;0.0;0.0;271.0
11.0;0.0;0.0;0.0;0.0;270.0
12.0;0.0;0.0;0.0;0.0;270.0
13.0;0.0;0.0;0.0;0.0;269.0
14.0;0.0;0.0;0.0;0.0;266.0
15.0;0.0;0.0;0.0;0.0;261.0
0.0;0.0;0.0;0.0;0.0;252.0
1.0;0.0;0.0;0.0;0.0;241.0
2.0;0.0;0.0;0.0;0.0;226.0
3.0;0.0;0.0;0.0;0.0;208.0
4.0;0.0;0.0;0.0;0.0;189.0
5.0;0.0;0.0;0.0;0.0;176.0
6.0;0.0;0.0;0.0;0.0;167.0
7.0;0.0;0.0;0.0;0.0;162.0
8.0;0.0;0.0;0.0;0.0;159.0
9.0;0.0;0.0;0.0;0.0;160.0
10.0;0.0;0.0;0.0;0.0;165.0
11.0;0.0;0.0;0.0;0.0;176.0
12.0;0.0;0.0;0.0;0.0;195.0
13.0;0.0;0.0;0.0;0.0;217.0
14.0;0.0;0.0;0.0;0.0;238.0
15.0;0.0;0.0;0.0;0.0;260.0
0.0;0.0;0.0;0.0;0.0;283.0
1.0;0.0;0.0;0.0;0.0;303.0
2.0;0.0;0.0;0.0;0.0;320.0
3.0;0.0;0.0;0.0;0.0;336.0
4.0;0.0;0.0;0.0;0.0;354.0
5.0;0.0;0.0;0.0;0.0;373.0
6.0;0.0;0.0;0.0;0.0;391.0
7.0;0.0;0.0;0.0;0.0;408.0
8.0;0.0;0.0;0.0;0.0;422.0
9.0;0.0;0.0;0.0;0.0;433.0
10.0;0.0;0.0;0.0;0.0;442.0
11.0;0.0;0.0;0.0;0.0;452.0
12.0;0.0;0.0;0.0;0.0;460.0
13.0;0.0;0.0;0.0;0.0;467.0
14.0;0.0;0.0;0.0;0.0;475.0
15.0;0.0;0.0;0.0;0.0;481.0
0.0;0.0;0.0;0.0;0.0;489.0
1.0;0.0;0.0;0.0;0.0;497.0
2.0;0.0;0.0;0.0;0.0;505.0
3.0;0.0;0.0;0.0;0.0;514.0
4.0;0.0;0.0;0.0;0.0;520.0
5.0;0.0;0.0;0.0;0.0;526.0
6.0;0.0;0.0;0.0;0.0;532.0
7.0;0.0;0.0;0.0;0.0;537.0
8.0;0.0;0.0;0.0;0.0;542.0
9.0;0.0;0.0;0.0;0.0;545.0
10.0;0.0;0.0;0.0;0.0;550.0
11.0;0.0;0.0;0.0;0.0;553.0
12.0;0.0;0.0;0.0;0.0;557.0
13.0;0.0;0.0;0.0;0.0;560.0
14.0;0.0;0.0;0.0;0.0;562.0
15.0;0.0;0.0;0.0;0.0;563.0
0.0;0.0;0.0;0.0;0.0;563.0
1.0;0.0;0.0;0.0;0.0;564.0
2.0;0.0;0.0;0.0;0.0;565.0
3.0;0.0;0.0;0.0;0.0;566.0
4.0;0.0;0.0;0.0;0.0;567.0
5.0;0.0;0.0;0.0;0.0;568.0
6.0;0.0;0.0;0.0;0.0;568.0
7.0;0.0;0.0;0.0;0.0;568.0
8.0;0.0;0.0;0.0;0.0;568.0
9.0;0.0;0.0;0.0;0.0;568.0
10.0;0.0;0.0;0.0;0.0;568.0
11.0;0.0;0.0;0.0;0.0;568.0
12.0;0.0;0.0;0.0;0.0;568.0
13.0;0.0;0.0;0.0;0.0;569.0
14.0;0.0;0.0;0.0;0.0;569.0
15.0;0.0;0.0;0.0;0.0;568.0
0.0;0.0;0.0;0.0;0.0;567.0
1.0;0.0;0.0;0.0;0.0;568.0
2.0;0.0;0.0;0.0;0.0;567.0
3.0;0.0;0.0;0.0;0.0;566.0
4.0;0.0;0.0;0.0;0.0;566.0
5.0;0.0;0.0;0.0;0.0;565.0
6.0;0.0;0.0;0.0;0.0;564.0
7.0;0.0;0.0;0.0;0.0;563.0
8.0;0.0;0.0;0.0;0.0;564.0
9.0;0.0;0.0;0.0;0.0;564.0
10.0;0.0;0.0;0.0;0.0;564.0
11.0;0.0;0.0;0.0;0.0;563.0
12.0;0.0;0.0;0.0;0.0;563.0
13.0;0.0;0.0;0.0;0.0;563.0
14.0;0.0;0.0;0.0;0.0;564.0
15.0;0.0;0.0;0.0;0.0;565.0
0.0;0.0;0.0;0.0;0.0;565.0
1.0;0.0;0.0;0.0;0.0;565.0
2.0;0.0;0.0;0.0;0.0;563.0
3.0;0.0;0.0;0.0;0.0;562.0
4.0;0.0;0.0;0.0;0.0;560.0
5.0;0.0;0.0;0.0;0.0;560.0
6.0;0.0;0.0;0.0;0.0;560.0
7.0;0.0;0.0;0.0;0.0;560.0
8.0;0.0;0.0;0.0;0.0;559.0
9.0;0.0;0.0;0.0;0.0;559.0
10.0;0.0;0.0;0.0;0.0;559.0
11.0;0.0;0.0;0.0;0.0;559.0
12.0;0.0;0.0;0.0;0.0;559.0
13.0;0.0;0.0;0.0;0.0;558.0
14.0;0.0;0.0;0.0;0.0;557.0
15.0;0.0;0.0;0.0;0.0;557.0
0.0;0.0;0.0;0.0;0.0;558.0
1.0;0.0;0.0;0.0;0.0;558.0
2.0;0.0;0.0;0.0;0.0;558.0
3.0;0.0;0.0;0.0;0.0;556.0
4.0;0.0;0.0;0.0;0.0;555.0
5.0;0.0;0.0;0.0;0.0;554.0
6.0;0.0;0.0;0.0;0.0;553.0
7.0;0.0;0.0;0.0;0.0;552.0
8.0;0.0;0.0;0.0;0.0;551.0
9.0;0.0;0.0;0.0;0.0;551.0
10.0;0.0;0.0;0.0;0.0;551.0
11.0;0.0;0.0;0.0;0.0;551.0
12.0;0.0;0.0;0.0;0.0;551.0
13.0;0.0;0.0;0.0;0.0;551.0
14.0;0.0;0.0;0.0;0.0;554.0
15.0;0.0;0.0;0.0;0.0;554.0
0.0;0.0;0.0;0.0;0.0;555.0
1.0;0.0;0.0;0.0;0.0;556.0
2.0;0.0;0.0;0.0;0.0;555.0
3.0;0.0;0.0;0.0;0.0;555.0
4.0;0.0;0.0;0.0;0.0;554.0
5.0;0.0;0.0;0.0;0.0;554.0
6.0;0.0;0.0;0.0;0.0;554.0
7.0;0.0;0.0;0.0;0.0;553.0
8.0;0.0;0.0;0.0;0.0;553.0
9.0;0.0;0.0;0.0;0.0;551.0
10.0;0.0;0.0;0.0;0.0;551.0
11.0;0.0;0.0;0.0;0.0;550.0
12.0;0.0;0.0;0.0;0.0;549.0
13.0;0.0;0.0;0.0;0.0;549.0
14.0;0.0;0.0;0.0;0.0;548.0
15.0;0.0;0.0;0.0;0.0;548.0
0.0;0.0;0.0;0.0;0.0;548.0
1.0;0.0;0.0;0.0;0.0;547.0
2.0;0.0;0.0;0.0;0.0;546.0
3.0;0.0;0.0;0.0;0.0;545.0
4.0;0.0;0.0;0.0;0.0;544.0
5.0;0.0;0.0;0.0;0.0;543.0
6.0;0.0;0.0;0.0;0.0;543.0
7.0;0.0;0.0;0.0;0.0;543.0
8.0;0.0;0.0;0.0;0.0;544.0
9.0;0.0;0.0;0.0;0.0;546.0
10.0;0.0;0.0;0.0;0.0;547.0
11.0;0.0;0.0;0.0;0.0;548.0
12.0;0.0;0.0;0.0;0.0;548.0
13.0;0.0;0.0;0.0;0.0;547.0
14.0;0.0;0.0;0.0;0.0;547.0
15.0;0.0;0.0;0.0;0.0;547.0
0.0;0.0;0.0;0.0;0.0;547.0
1.0;0.0;0.0;0.0;0.0;547.0
2.0;0.0;0.0;0.0;0.0;546.0
3.0;0.0;0.0;0.0;0.0;547.0
4.0;0.0;0.0;0.0;0.0;547.0
5.0;0.0;0.0;0.0;0.0;549.0
6.0;0.0;0.0;0.0;0.0;551.0
7.0;0.0;0.0;0.0;0.0;550.0
8.0;0.0;0.0;0.0;0.0;551.0
9.0;0.0;0.0;0.0;0.0;552.0
10.0;0.0;0.0;0.0;0.0;554.0
11.0;0.0;0.0;0.0;0.0;556.0
12.0;0.0;0.0;0.0;0.0;556.0
13.0;0.0;0.0;0.0;0.0;556.0
14.0;0.0;0.0;0.0;0.0;556.0
15.0;0.0;0.0;0.0;0.0;556.0
0.0;0.0;0.0;0.0;0.0;556.0
1.0;0.0;0.0;0.0;0.0;556.0
2.0;0.0;0.0;0.0;0.0;556.0
3.0;0.0;0.0;0.0;0.0;555.0
4.0;0.0;0.0;0.0;0.0;555.0
5.0;0.0;0.0;0.0;0.0;554.0
6.0;0.0;0.0;0.0;0.0;554.0
7.0;0.0;0.0;0.0;0.0;555.0
8.0;0.0;0.0;0.0;0.0;554.0
9.0;0.0;0.0;0.0;0.0;554.0
10.0;0.0;0.0;0.0;0.0;556.0
11.0;0.0;0.0;0.0;0.0;557.0
12.0;0.0;0.0;0.0;0.0;560.0
13.0;0.0;0.0;0.0;0.0;560.0
14.0;0.0;0.0;0.0;0.0;561.0
15.0;0.0;0.0;0.0;0.0;560.0
0.0;0.0;0.0;0.0;0.0;560.0
1.0;0.0;0.0;0.0;0.0;561.0
2.0;0.0;0.0;0.0;0.0;560.0
3.0;0.0;0.0;0.0;0.0;559.0
4.0;0.0;0.0;0.0;0.0;559.0
5.0;0.0;0.0;0.0;0.0;558.0
6.0;0.0;0.0;0.0;0.0;558.0
7.0;0.0;0.0;0.0;0.0;558.0
8.0;0.0;0.0;0.0;0.0;558.0
9.0;0.0;0.0;0.0;0.0;559.0
10.0;0.0;0.0;0.0;0.0;559.0
11.0;0.0;0.0;0.0;0.0;560.0
12.0;0.0;0.0;0.0;0.0;561.0
13.0;0.0;0.0;0.0;0.0;561.0
14.0;0.0;0.0;0.0;0.0;560.0
15.0;0.0;0.0;0.0;0.0;560.0
0.0;0.0;0.0;0.0;0.0;560.0
1.0;0.0;0.0;0.0;0.0;560.0
2.0;0.0;0.0;0.0;0.0;559.0
3.0;0.0;0.0;0.0;0.0;558.0
4.0;0.0;0.0;0.0;0.0;558.0
5.0;0.0;0.0;0.0;0.0;557.0
6.0;0.0;0.0;0.0;0.0;556.0
7.0;0.0;0.0;0.0;0.0;556.0
8.0;0.0;0.0;0.0;0.0;556.0
9.0;0.0;0.0;0.0;0.0;556.0
10.0;0.0;0.0;0.0;0.0;555.0
11.0;0.0;0.0;0.0;0.0;553.0
12.0;0.0;0.0;0.0;0.0;554.0
13.0;0.0;0.0;0.0;0.0;553.0
14.0;0.0;0.0;0.0;0.0;552.0
15.0;0.0;0.0;0.0;0.0;551.0
0.0;0.0;0.0;0.0;0.0;550.0
1.0;0.0;0.0;0.0;0.0;550.0
2.0;0.0;0.0;0.0;0.0;549.0
3.0;0.0;0.0;0.0;0.0;550.0
4.0;0.0;0.0;0.0;0.0;550.0
5.0;0.0;0.0;0.0;0.0;549.0
6.0;0.0;0.0;0.0;0.0;548.0
7.0;0.0;0.0;0.0;0.0;547.0
8.0;0.0;0.0;0.0;0.0;547.0
9.0;0.0;0.0;0.0;0.0;546.0
10.0;0.0;0.0;0.0;0.0;545.0
11.0;0.0;0.0;0.0;0.0;543.0
