nSeq;I1;I2;O1;O2;A2
0.0;0.0;0.0;0.0;0.0;391.0
1.0;0.0;0.0;0.0;0.0;382.0
2.0;0.0;0.0;0.0;0.0;378.0
3.0;0.0;0.0;0.0;0.0;383.0
4.0;0.0;0.0;0.0;0.0;397.0
5.0;0.0;0.0;0.0;0.0;416.0
6.0;0.0;0.0;0.0;0.0;440.0
7.0;0.0;0.0;0.0;0.0;469.0
8.0;0.0;0.0;0.0;0.0;492.0
9.0;0.0;0.0;0.0;0.0;506.0
10.0;0.0;0.0;0.0;0.0;509.0
11.0;0.0;0.0;0.0;0.0;499.0
12.0;0.0;0.0;0.0;0.0;474.0
13.0;0.0;0.0;0.0;0.0;443.0
14.0;0.0;0.0;0.0;0.0;413.0
15.0;0.0;0.0;0.0;0.0;385.0
0.0;0.0;0.0;0.0;0.0;366.0
1.0;0.0;0.0;0.0;0.0;356.0
2.0;0.0;0.0;0.0;0.0;353.0
3.0;0.0;0.0;0.0;0.0;357.0
4.0;0.0;0.0;0.0;0.0;371.0
5.0;0.0;0.0;0.0;0.0;389.0
6.0;0.0;0.0;0.0;0.0;411.0
7.0;0.0;0.0;0.0;0.0;439.0
8.0;0.0;0.0;0.0;0.0;468.0
9.0;0.0;0.0;0.0;0.0;488.0
10.0;0.0;0.0;0.0;0.0;497.0
11.0;0.0;0.0;0.0;0.0;496.0
12.0;0.0;0.0;0.0;0.0;478.0
13.0;0.0;0.0;0.0;0.0;447.0
14.0;0.0;0.0;0.0;0.0;415.0
15.0;0.0;0.0;0.0;0.0;387.0
0.0;0.0;0.0;0.0;0.0;366.0
1.0;0.0;0.0;0.0;0.0;350.0
2.0;0.0;0.0;0.0;0.0;343.0
3.0;0.0;0.0;0.0;0.0;341.0
4.0;0.0;0.0;0.0;0.0;350.0
5.0;0.0;0.0;0.0;0.0;368.0
6.0;0.0;0.0;0.0;0.0;391.0
7.0;0.0;0.0;0.0;0.0;417.0
8.0;0.0;0.0;0.0;0.0;448.0
9.0;0.0;0.0;0.0;0.0;479.0
10.0;0.0;0.0;0.0;0.0;498.0
11.0;0.0;0.0;0.0;0.0;509.0
12.0;0.0;0.0;0.0;0.0;508.0
13.0;0.0;0.0;0.0;0.0;491.0
14.0;0.0;0.0;0.0;0.0;464.0
15.0;0.0;0.0;0.0;0.0;437.0
0.0;0.0;0.0;0.0;0.0;409.0
1.0;0.0;0.0;0.0;0.0;387.0
2.0;0.0;0.0;0.0;0.0;375.0
3.0;0.0;0.0;0.0;0.0;369.0
4.0;0.0;0.0;0.0;0.0;371.0
5.0;0.0;0.0;0.0;0.0;382.0
6.0;0.0;0.0;0.0;0.0;400.0
7.0;0.0;0.0;0.0;0.0;422.0
8.0;0.0;0.0;0.0;0.0;448.0
9.0;0.0;0.0;0.0;0.0;482.0
10.0;0.0;0.0;0.0;0.0;511.0
11.0;0.0;0.0;0.0;0.0;528.0
12.0;0.0;0.0;0.0;0.0;536.0
13.0;0.0;0.0;0.0;0.0;531.0
14.0;0.0;0.0;0.0;0.0;512.0
15.0;0.0;0.0;0.0;0.0;483.0
0.0;0.0;0.0;0.0;0.0;454.0
1.0;0.0;0.0;0.0;0.0;426.0
2.0;0.0;0.0;0.0;0.0;407.0
3.0;0.0;0.0;0.0;0.0;398.0
4.0;0.0;0.0;0.0;0.0;395.0
5.0;0.0;0.0;0.0;0.0;398.0
6.0;0.0;0.0;0.0;0.0;410.0
7.0;0.0;0.0;0.0;0.0;430.0
8.0;0.0;0.0;0.0;0.0;454.0
9.0;0.0;0.0;0.0;0.0;482.0
10.0;0.0;0.0;0.0;0.0;512.0
11.0;0.0;0.0;0.0;0.0;534.0
12.0;0.0;0.0;0.0;0.0;545.0
13.0;0.0;0.0;0.0;0.0;547.0
14.0;0.0;0.0;0.0;0.0;534.0
15.0;0.0;0.0;0.0;0.0;507.0
0.0;0.0;0.0;0.0;0.0;475.0
1.0;0.0;0.0;0.0;0.0;445.0
2.0;0.0;0.0;0.0;0.0;422.0
3.0;0.0;0.0;0.0;0.0;406.0
4.0;0.0;0.0;0.0;0.0;397.0
5.0;0.0;0.0;0.0;0.0;397.0
6.0;0.0;0.0;0.0;0.0;403.0
7.0;0.0;0.0;0.0;0.0;417.0
8.0;0.0;0.0;0.0;0.0;435.0
9.0;0.0;0.0;0.0;0.0;461.0
10.0;0.0;0.0;0.0;0.0;490.0
11.0;0.0;0.0;0.0;0.0;517.0
12.0;0.0;0.0;0.0;0.0;534.0
13.0;0.0;0.0;0.0;0.0;541.0
14.0;0.0;0.0;0.0;0.0;537.0
15.0;0.0;0.0;0.0;0.0;520.0
0.0;0.0;0.0;0.0;0.0;492.0
1.0;0.0;0.0;0.0;0.0;464.0
2.0;0.0;0.0;0.0;0.0;435.0
3.0;0.0;0.0;0.0;0.0;413.0
4.0;0.0;0.0;0.0;0.0;400.0
5.0;0.0;0.0;0.0;0.0;393.0
6.0;0.0;0.0;0.0;0.0;395.0
7.0;0.0;0.0;0.0;0.0;404.0
8.0;0.0;0.0;0.0;0.0;419.0
9.0;0.0;0.0;0.0;0.0;438.0
10.0;0.0;0.0;0.0;0.0;463.0
11.0;0.0;0.0;0.0;0.0;494.0
12.0;0.0;0.0;0.0;0.0;520.0
13.0;0.0;0.0;0.0;0.0;536.0
14.0;0.0;0.0;0.0;0.0;542.0
15.0;0.0;0.0;0.0;0.0;534.0
0.0;0.0;0.0;0.0;0.0;511.0
1.0;0.0;0.0;0.0;0.0;479.0
2.0;0.0;0.0;0.0;0.0;447.0
3.0;0.0;0.0;0.0;0.0;416.0
4.0;0.0;0.0;0.0;0.0;393.0
5.0;0.0;0.0;0.0;0.0;381.0
6.0;0.0;0.0;0.0;0.0;375.0
7.0;0.0;0.0;0.0;0.0;376.0
8.0;0.0;0.0;0.0;0.0;386.0
9.0;0.0;0.0;0.0;0.0;402.0
10.0;0.0;0.0;0.0;0.0;424.0
11.0;0.0;0.0;0.0;0.0;450.0
12.0;0.0;0.0;0.0;0.0;479.0
13.0;0.0;0.0;0.0;0.0;501.0
14.0;0.0;0.0;0.0;0.0;513.0
15.0;0.0;0.0;0.0;0.0;513.0
0.0;0.0;0.0;0.0;0.0;499.0
1.0;0.0;0.0;0.0;0.0;474.0
2.0;0.0;0.0;0.0;0.0;444.0
3.0;0.0;0.0;0.0;0.0;413.0
4.0;0.0;0.0;0.0;0.0;386.0
5.0;0.0;0.0;0.0;0.0;365.0
6.0;0.0;0.0;0.0;0.0;354.0
7.0;0.0;0.0;0.0;0.0;351.0
8.0;0.0;0.0;0.0;0.0;354.0
9.0;0.0;0.0;0.0;0.0;368.0
10.0;0.0;0.0;0.0;0.0;386.0
11.0;0.0;0.0;0.0;0.0;409.0
12.0;0.0;0.0;0.0;0.0;439.0
13.0;0.0;0.0;0.0;0.0;470.0
14.0;0.0;0.0;0.0;0.0;490.0
15.0;0.0;0.0;0.0;0.0;497.0
0.0;0.0;0.0;0.0;0.0;495.0
1.0;0.0;0.0;0.0;0.0;477.0
2.0;0.0;0.0;0.0;0.0;449.0
3.0;0.0;0.0;0.0;0.0;419.0
4.0;0.0;0.0;0.0;0.0;389.0
5.0;0.0;0.0;0.0;0.0;364.0
6.0;0.0;0.0;0.0;0.0;348.0
7.0;0.0;0.0;0.0;0.0;342.0
8.0;0.0;0.0;0.0;0.0;343.0
9.0;0.0;0.0;0.0;0.0;352.0
10.0;0.0;0.0;0.0;0.0;368.0
11.0;0.0;0.0;0.0;0.0;390.0
12.0;0.0;0.0;0.0;0.0;417.0
13.0;0.0;0.0;0.0;0.0;448.0
14.0;0.0;0.0;0.0;0.0;474.0
15.0;0.0;0.0;0.0;0.0;490.0
0.0;0.0;0.0;0.0;0.0;496.0
1.0;0.0;0.0;0.0;0.0;491.0
2.0;0.0;0.0;0.0;0.0;469.0
3.0;0.0;0.0;0.0;0.0;443.0
4.0;0.0;0.0;0.0;0.0;417.0
5.0;0.0;0.0;0.0;0.0;393.0
6.0;0.0;0.0;0.0;0.0;378.0
7.0;0.0;0.0;0.0;0.0;373.0
8.0;0.0;0.0;0.0;0.0;376.0
9.0;0.0;0.0;0.0;0.0;387.0
10.0;0.0;0.0;0.0;0.0;406.0
11.0;0.0;0.0;0.0;0.0;428.0
12.0;0.0;0.0;0.0;0.0;452.0
13.0;0.0;0.0;0.0;0.0;483.0
14.0;0.0;0.0;0.0;0.0;518.0
15.0;0.0;0.0;0.0;0.0;544.0
0.0;0.0;0.0;0.0;0.0;558.0
1.0;0.0;0.0;0.0;0.0;559.0
2.0;0.0;0.0;0.0;0.0;544.0
3.0;0.0;0.0;0.0;0.0;517.0
4.0;0.0;0.0;0.0;0.0;485.0
5.0;0.0;0.0;0.0;0.0;453.0
6.0;0.0;0.0;0.0;0.0;424.0
7.0;0.0;0.0;0.0;0.0;403.0
8.0;0.0;0.0;0.0;0.0;391.0
9.0;0.0;0.0;0.0;0.0;388.0
10.0;0.0;0.0;0.0;0.0;395.0
11.0;0.0;0.0;0.0;0.0;413.0
12.0;0.0;0.0;0.0;0.0;439.0
13.0;0.0;0.0;0.0;0.0;473.0
14.0;0.0;0.0;0.0;0.0;515.0
15.0;0.0;0.0;0.0;0.0;557.0
0.0;0.0;0.0;0.0;0.0;582.0
1.0;0.0;0.0;0.0;0.0;584.0
2.0;0.0;0.0;0.0;0.0;567.0
3.0;0.0;0.0;0.0;0.0;527.0
4.0;0.0;0.0;0.0;0.0;472.0
5.0;0.0;0.0;0.0;0.0;413.0
6.0;0.0;0.0;0.0;0.0;356.0
7.0;0.0;0.0;0.0;0.0;311.0
8.0;0.0;0.0;0.0;0.0;281.0
9.0;0.0;0.0;0.0;0.0;265.0
10.0;0.0;0.0;0.0;0.0;256.0
11.0;0.0;0.0;0.0;0.0;254.0
12.0;0.0;0.0;0.0;0.0;261.0
13.0;0.0;0.0;0.0;0.0;274.0
14.0;0.0;0.0;0.0;0.0;294.0
15.0;0.0;0.0;0.0;0.0;314.0
0.0;0.0;0.0;0.0;0.0;329.0
1.0;0.0;0.0;0.0;0.0;328.0
2.0;0.0;0.0;0.0;0.0;310.0
3.0;0.0;0.0;0.0;0.0;274.0
4.0;0.0;0.0;0.0;0.0;215.0
5.0;0.0;0.0;0.0;0.0;141.0
6.0;0.0;0.0;0.0;0.0;67.0
7.0;0.0;0.0;0.0;0.0;1.0
8.0;0.0;0.0;0.0;0.0;0.0
9.0;0.0;0.0;0.0;0.0;0.0
10.0;0.0;0.0;0.0;0.0;0.0
11.0;0.0;0.0;0.0;0.0;0.0
12.0;0.0;0.0;0.0;0.0;0.0
