%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
92.0, 135129.05807841517, 187500.0, 155108.34367374703, 141046.2353880686, 66444.04726553528, 117302.31252936275, 124583.41563742347, 128358.33470324693, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952279914E9, 0.0, 2024-09-25 12:39:12.279
93.0, 135148.07941294665, 187500.0, 155145.24640384276, 141056.36072830687, 66475.1385420726, 117308.86159048816, 124588.60124213711, 128364.3473225054, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859522800107E9, 0.0, 2024-09-25 12:39:12.280
94.0, 135139.18341865344, 187500.0, 155203.36093942655, 141066.4413650562, 66510.18607737853, 117321.37856738313, 124582.38745717854, 128393.98573565314, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859522800736E9, 0.0, 2024-09-25 12:39:12.280
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952373753E9, 0.0, 2024-09-25 12:39:12.373
1.0, 135175.88498304904, 187500.0, 155135.03165662667, 141046.6377194688, 66493.51167601487, 117345.60785837268, 124571.0551227397, 128378.42892151224, -0.264, 0.792, 0.522, 192.0, 247.0, 192.0, 24.0, 192.0, 16.0, 80.0, 0.0, 0.0, 0.0, 1.7272859523826754E9, 0.0, 2024-09-25 12:39:12.382
2.0, 135196.73916062585, 187500.0, 155149.73910447827, 141047.86706541386, 66511.30366460129, 117338.58941061371, 124576.3524861756, 128359.98873233661, -0.264, 0.792, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859523867116E9, 0.0, 2024-09-25 12:39:12.386
3.0, 135198.39318971554, 187500.0, 155206.51253539475, 141059.02058589706, 66545.16655745108, 117347.03837001782, 124575.97250651986, 128369.86820338586, -0.264, 0.792, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952391729E9, 0.0, 2024-09-25 12:39:12.391
4.0, 135190.99476230083, 187500.0, 155193.41441314394, 141066.17314412276, 66534.41536836808, 117359.57769865725, 124586.34371594712, 128376.10434008889, -0.264, 0.792, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859523947632E9, 0.0, 2024-09-25 12:39:12.394
5.0, 135186.68087562095, 187500.0, 155147.123950377, 141060.31698707546, 66509.71669074496, 117364.4503789485, 124591.61872763858, 128378.98771512363, -0.264, 0.792, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859523987691E9, 0.0, 2024-09-25 12:39:12.398
6.0, 135209.18908228746, 187500.0, 155158.85861621602, 141064.1838388662, 66520.64669378361, 117362.03639054734, 124592.5575009057, 128374.36090402138, -0.264, 0.792, 0.522, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859524027665E9, 0.0, 2024-09-25 12:39:12.402
